seq_len,sampling_efficiency
3,22.727272727272727
4,16.129032258064516
5,7.751937984496124
6,3.1545741324921135
7,1.310615989515072
8,0.8417508417508417
9,0.4434589800443459
10,0.544959128065395
11,0.20462451401677922
12,0.24295432458697766
13,0.19932230416583618
14,0.04802151363810987
15,0.04807692307692308
16,0.02087290488217245
17,0.0169548999660902
