Epoch,Reconstruction Loss,KL Divergence,Property Loss
1,2.3814924210818553,1.7194950727319962,1.59115275821995
2,2.3548897396480672,0.314274650995235,1.6436759302894817
3,2.353788931520319,0.08044809697405673,1.6649801105693136
4,2.3530706524747225,0.029326030075448366,1.667421827817482
5,2.352551317865938,0.01537813343514558,1.6624813345499312
6,2.3521512195010232,0.007840852040174472,1.664253553305673
7,2.3519016627362155,0.004801192482990616,1.6614454724276024
8,2.3517751624051213,0.003408219633503172,1.6592551597200156
9,2.351721433700148,0.002020659020532927,1.6596546317403023
10,2.351562373263844,0.0016582161378840131,1.6569262241035598
11,2.3516002608647524,0.0010554236344001398,1.656308654009177
12,2.3515614607330066,0.0007453610669223929,1.6557653872773
13,2.351470275594513,0.0006767852746789366,1.6535750048381272
14,2.3513739890714556,0.0006251671755171473,1.6521453882024049
15,2.351399965406278,0.0004953069186454747,1.6522746068066299
16,2.3513746864763134,0.0005077039282578251,1.6511191776715244
17,2.351324552867193,0.0003903821466725841,1.6509999055606106
18,2.351268917627302,0.000411170925754329,1.6505141338403415
19,2.3512303314518195,0.0003857793470800126,1.6501498984192011
20,2.351227648632518,0.00038517183233243205,1.6490971858298513
21,2.3512721403975534,0.0003314165353978453,1.6493577815643146
22,2.3512181777494354,0.00032833384496156674,1.6490469487199604
23,2.3510902311411326,0.0003423309112571612,1.6483277045381048
24,2.351153401994868,0.000316733278257855,1.6482736264123445
25,2.3511868562206066,0.00028217852166488307,1.6483012621923518
26,2.3511057821048404,0.0003437734059608023,1.6468472303917994
27,2.3511030960815353,0.00021443428287327087,1.6484055655782743
28,2.3511895599422195,0.00022545240743168386,1.647775639268115
29,2.351083285114871,0.0002346976625227684,1.647519514091796
30,2.3510544238033555,0.00021962552576138298,1.6467787719144147
31,2.3510486936203043,0.0002203342972049941,1.6466659088412445
32,2.3510703392097976,0.00020654475373619652,1.6465249911408375
33,2.3510625875545443,0.00015338064002909352,1.6470070730246376
34,2.35104437533499,0.00015229820798281517,1.6463229210392505
35,2.3509490266188013,0.00014798437903155239,1.6464991018735509
