Epoch,Reconstruction Loss,KL Divergence,Property Loss
1,2.3287307073842136,3.641753834135093,0.39040465754021353
2,2.304684375943584,2.506372647226467,0.15013396955149266
3,2.306894310505317,2.133113452700625,0.14146617457346908
4,2.313547255642992,1.8711859257859988,0.14227037716008495
5,2.3261038593871604,1.6289626012584861,0.14891129713060505
6,2.3298884438980156,1.499664081394062,0.15465482625372887
7,2.3298769323695643,1.415894005740055,0.16554781178540134
8,2.329876557958818,1.3514251478092663,0.17769397900093334
9,2.3299078342247337,1.2905455207763679,0.18751427298252799
10,2.3300751204580172,1.2368763064005677,0.20175851634210898
11,2.330270676584374,1.1881170076009764,0.21234523024689725
12,2.3305618021471917,1.1459045299033257,0.2247161669434134
13,2.3307506198972567,1.1074036661370215,0.23827449294322078
14,2.3308614552427884,1.0646364969096493,0.25244103689318836
15,2.3310770928452853,1.0330658053833064,0.2665334696477794
16,2.3313473952304786,0.9997839999127713,0.2769021736362587
17,2.3314786081428007,0.9701434042775183,0.2925305586092098
18,2.3316984434990347,0.9446571248078102,0.3041942358309397
19,2.331884720219687,0.9129174899424303,0.3181492338599097
20,2.332256069565796,0.8888597585286296,0.33087722634826705
21,2.3324037836069946,0.8649052818887469,0.34424735999860046
22,2.3326049724739972,0.8417292859265422,0.35943876442089423
23,2.3328503789348405,0.8183223932422062,0.37187173513778243
24,2.33299591059164,0.7987018478048946,0.38555380733168776
25,2.333236606556401,0.7737285156858252,0.40075139908609536
26,2.3335774956913125,0.7561481204964602,0.4135033949357759
27,2.333791805107032,0.7381348062955072,0.42539915176737836
28,2.3339039183924224,0.7158895560473508,0.4450368917334202
29,2.334197503511409,0.7003236074293026,0.45291743078507457
30,2.334470107693721,0.6825073352369636,0.4719203019660894
31,2.3344945691958223,0.6692624388090986,0.4827666302233833
32,2.33484594172992,0.6521425816030225,0.49417530067595605
33,2.334931245537748,0.6384280601535437,0.5082641657657998
34,2.335471472744242,0.6231799606271978,0.5225500137046132
35,2.335698522601925,0.6107771627910105,0.5353635155910518
36,2.3357603235659745,0.5922584357598333,0.548508199726457
37,2.335802741425029,0.5791541673624475,0.5649477375143624
38,2.3361037202662573,0.5729646287833058,0.5729445966513694
39,2.335987613876525,0.5736268245497458,0.5715844905823978
40,2.3361281600014747,0.5717225765027487,0.5725419598380453
41,2.3360096266041843,0.5714847697485429,0.5722561001955649
42,2.3361661055795975,0.5660571998601888,0.5814440910523255
43,2.336223318410001,0.5731583909344551,0.5780775208318599
44,2.3360632129089822,0.5712274360905939,0.5797551179959506
45,2.336074085162361,0.5688931016257802,0.5827574580653536
46,2.336077305237181,0.5684156437935276,0.57954483158861
47,2.336049484209803,0.5669848357959819,0.5770767992394166
48,2.3360409903444936,0.5711519856120336,0.5753706946155317
49,2.336073923233019,0.5692315295008059,0.5754966994830163
50,2.3362872559869654,0.5702307286700902,0.5759871362139544
